#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,_field,_measurement,code,owner
,,0,2023-08-16T00:32:06Z,266,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T01:32:07Z,300,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T02:32:06Z,316,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T03:32:06Z,316,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T04:32:07Z,316,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T05:32:06Z,291,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T06:32:06Z,277,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T07:32:07Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T08:32:06Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T09:32:06Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T11:32:17Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T12:32:17Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T13:32:17Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T14:32:17Z,262,value,co_8h,BBMLA,SMBrno
,,0,2023-08-16T15:32:17Z,262,value,co_8h,BBMLA,SMBrno
